numerai_ticker,ticker_cleaned,name,market_country,trends_us
RTO.L,RTO,rentokil initial,gb,
ROR.L,ROR,rotork,gb,
NWG.L,NWG,natwest group,gb,
ANTO.L,ANTO,antofagasta,gb,
AHT.L,AHT,ashtead group,gb,
BHP.L,BHP,bhp group,gb,
AVON.L,AVON,avon rubber,gb,
BDEV.L,BDEV,barratt developments,gb,
BWY.L,BWY,bellway,gb,
GAW.L,GAW,games workshop group,gb,
GOG.L,GOG,goahead group,gb,
HLMA.L,HLMA,halma,gb,
HAS.L,HAS,hays,gb,
DMGT.L,DMGT,daily mail general trust,gb,
WEIR.L,WEIR,weir group,gb,
DPH.L,DPH,dechra pharmaceuticals,gb,
BAB.L,BAB,babcock international group,gb,
SYNT.L,SYNT,synthomer,gb,
AZN.L,AZN,astrazeneca,gb,
CBG.L,CBG,close brothers group,gb,
STJ.L,STJ,st james's place,gb,
TPK.L,TPK,travis perkins,gb,
SSE.L,SSE,sse,gb,
SNR.L,SNR,senior,gb,
SRP.L,SRP,serco group,gb,
BP.L,BP,bp,gb,
SGE.L,SGE,sage group,gb,
SHI.L,SHI,sig,gb,
MGNS.L,MGNS,morgan sindall group,gb,
SMDS.L,SMDS,ds smith,gb,
NXT.L,NXT,next,gb,
COA.L,COA,coats group,gb,
RR.L,RR,rollsroyce holdings,gb,
BNZL.L,BNZL,bunzl,gb,
JDW.L,JDW,j d wetherspoon,gb,
EZJ.L,EZJ,easyjet,gb,
BRW.L,BRW,brewin dolphin holdings,gb,
DPLM.L,DPLM,diploma,gb,
VTY.L,VTY,vistry group,gb,
PRU.L,PRU,prudential,gb,
BATS.L,BATS,british american tobacco,gb,
ECM.L,ECM,electrocomponents,gb,
SPX.L,SPX,spiraxsarco engineering,gb,
LLOY.L,LLOY,lloyds banking group,gb,
TATE.L,TATE,tate lyle,gb,
TW.L,TW,taylor wimpey,gb,
TEP.L,TEP,telecom plus,gb,
TSCO.L,TSCO,tesco,gb,
WG.L,WG,john wood group,gb,
ITRK.L,ITRK,intertek group,gb,
BRBY.L,BRBY,burberry group,gb,
BBY.L,BBY,balfour beatty,gb,
AGK.L,AGK,aggreko,gb,
TLW.L,TLW,tullow oil,gb,
HILS.L,HILS,hill smith holdings,gb,
IMB.L,IMB,imperial brands,gb,
ICP.L,ICP,intermediate capital group,gb,
IMI.L,IMI,imi,gb,
PAGE.L,PAGE,pagegroup,gb,
ITV.L,ITV,itv,gb,
HSV.L,HSV,homeserve,gb,
DGE.L,DGE,diageo,gb,
SDR.L,SDR,schroders,gb,
ELM.L,ELM,elementis,gb,
HYVE.L,HYVE,hyve group,gb,
BA.L,BA,bae systems,gb,
DVO.L,DVO,devro,gb,
SXS.L,SXS,spectris,gb,
FGP.L,FGP,firstgroup,gb,
MTO.L,MTO,mitie group,gb,
JMAT.L,JMAT,johnson matthey,gb,
JD.L,JD,jd sports fashion,gb,
CPG.L,CPG,compass group,gb,
HWDN.L,HWDN,howden joinery group,gb,
LGEN.L,LGEN,legal general group,gb,
APF.L,APF,anglo pacific group,gb,
RSA.L,RSA,rsa insurance group,gb,
OXB.L,OXB,oxford biomedica,gb,
OXIG.L,OXIG,oxford instruments,gb,
ABF.L,ABF,associated british foods,gb,
PSON.L,PSON,pearson,gb,
PSN.L,PSN,persimmon,gb,
RCH.L,RCH,reach,gb,
ULE.L,ULE,ultra electronics holdings,gb,
SN.L,SN,smith nephew,gb,
GSK.L,GSK,glaxosmithkline,gb,
VCT.L,VCT,victrex,gb,
MGGT.L,MGGT,meggitt,gb,
MNZS.L,MNZS,john menzies,gb,
MGAM.L,MGAM,morgan advanced materials,gb,
